Name	Assembly ID	Archaeal_Kingdom	Taxonomy	Completeness	Contamination	Park Quality_Score	Bioproject	Biosample	Environment_Category-ArchaeaHQ	Metagenome_source	geo_loc_name	lat_lon	Isolation_Source	Env_Broad	Env_Local	Env_medium	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	rRNA	tRNA
GCA_031624605.1_ASM3162460v1_genomic	GCA_031624605.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula onubensis	100	5.85	73.60581421	PRJNA845902	SAMN28864586	Terrestrial_Soil	N/A	"Spain: Marismas del Odiel, Huelva"	0	saline soil	0	0	0	0.872	514788	286.4590126	4288219	0.66	4355	7	77
GCA_013391635.1_ASM1339163v1_genomic	GCA_013391635.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Natronomonadaceae;Natronomonas;Natronomonas gomsonensis	98.76	5.16	76.08907874	PRJNA641493	SAMN15354821	Hypersaline_Salt	N/A	China: Yuncheng salt lake	0	bottom mud	0	0	0	0.899	1811997	284.0754135	3377131	0.64	3567	4	75
GCA_001989615.1_ASM198961v1_genomic	GCA_001989615.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Halorientalis;unclassified Halorientalis;Halorientalis sp. IM1011	99.99	0.48	100.854562	PRJNA360226	SAMN06205239	Hypersaline_Salt	N/A	China: Tianjin	0	saltern	0	0	0	0.881	3381613	284.0332311	3778989	0.66	3912	8	73
GCA_963678295.2_piUroStri2.Methanospirillum_sp_1.2_genomic	GCA_963678295.2	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanospirillaceae;Methanospirillum;environmental samples;uncultured Methanospirillum sp.	98.67	8.12	60.93512256	PRJEB70030	SAMEA114409881	Animal_Host_Associated	N/A	United Kingdom	0	Ciliate: Urostomides striatus	aquatic biome	0	ciliate culture	0.869	537335	306.3487204	4409595	0.47	4181	27	72
GCA_034931205.1_ASM3493120v1_genomic	GCA_034931205.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;unclassified Haloarculaceae;Haloarculaceae archaeon H-GB11	88.14	1.47	84.06911883	PRJNA949680	SAMN39090886	Terrestrial_Soil	N/A	"Russia: Altai region, Kulunda Steppe"	0	sediments from hypersaline soda lakes	0	0	0	0.84	3616077	242.4724376	4114112	0.65	4771	12	72
GCA_023276355.1_ASM2327635v1_genomic	GCA_023276355.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Haloplanus;Haloplanus halobius	95.84	1.79	90.09175535	PRJNA826316	SAMN27554576	Hypersaline_Salt	N/A	China: Shandong	0	salt	0	0	0	0.878	2532274	282.2193126	2941515	0.65	3055	8	72
GCA_032905985.1_ASM3290598v1_genomic	GCA_032905985.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula argentinensis	99.98	0.21	102.0200571	PRJNA991932	SAMN36318582	Unknown	N/A	Thailand	0	sediment	0	0	0	0.871	1513959	283.7414752	4033804	0.61	4135	10	70
GCA_023238205.1_ASM2323820v1_genomic	GCA_023238205.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haladaptataceae;Halorussus;Halorussus limi	99.99	4.55	80.51693545	PRJNA831011	SAMN27747444	Terrestrial_Soil	N/A	China: Xizang	0	saline soil	0	0	0	0.854	3579900	285.7088031	4624940	0.65	4612	12	69
GCA_013415905.1_ASM1341590v1_genomic	GCA_013415905.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Halosimplex;Halosimplex pelagicum	99.96	6.45	71.0679612	PRJNA644747	SAMN15472364	Hypersaline_Salt	N/A	China:Liaoning	0	the red brine of salted Laminaria	0	0	0	0.858	5199031	290.0674332	5199031	0.67	5131	8	68
GCA_023703795.1_ASM2370379v1_genomic	GCA_023703795.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Haloplanus;Haloplanus pelagicus	99.89	3.78	84.26298941	PRJNA843945	SAMN28772797	Hypersaline_Salt	N/A	China:Jiangsu	0	salt	0	0	0	0.872	3515433	281	3839886	0.65	3980	8	68
GCA_031624395.1_ASM3162439v1_genomic	GCA_031624395.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula saliterrae	100	4.75	79.15674045	PRJNA845893	SAMN28864572	Terrestrial_Soil	N/A	"Spain: Marismas del Odiel, Huelva"	0	saline soil	0	0	0	0.868	650850	283.2863806	4195167	0.65	4288	9	67
GCA_029530365.1_ASM2953036v1_genomic	GCA_029530365.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula laminariae	99.87	1.95	92.94956146	PRJNA938267	SAMN33428546	Hypersaline_Salt	N/A	China:Anhui	0	salt mine	0	0	0	0.86	456166	277.7554745	3712041	0.65	3836	7	67
GCA_029814175.1_ASM2981417v1_genomic	GCA_029814175.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Halobacteriaceae;Halospeciosus;Halospeciosus flavus	99.96	5.47	75.86099446	PRJNA941482	SAMN33607887	Hypersaline_Salt	N/A	China: Mangkam county ancient saltern	0	sediment	0	0	0	0.873	3176793	275.6555939	3557264	0.65	3763	12	66
GCA_030505615.1_ASM3050561v1_genomic	GCA_030505615.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Salinibaculum;Salinibaculum rarum	99.99	6.29	71.77347227	PRJNA991091	SAMN36288398	Unknown	N/A	China: Qinghai	0	sediment	0	0	0	0.879	2930519	284.4179431	3543659	0.61	3656	8	66
GCA_900318035.1_Rumen_uncultured_genome_RUG344_genomic	GCA_900318035.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;environmental samples;uncultured Methanobrevibacter sp.	87.85	3.22	74.17072041	PRJEB21624	SAMEA104666891	Unknown	N/A	0	0	0	0	0	0	0.893	69413	331.6794747	2288391	0.35	2056	3	66
GCA_902759475.1_Rumen_uncultured_genome_RUG10470_genomic	GCA_902759475.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;environmental samples;uncultured Methanobrevibacter sp.	87.86	3.22	74.18072041	PRJEB31266	SAMEA6148603	Animal_Host_Associated	N/A	United Kingdom	0	cattle rumen	Bos taurus	stomach	bodily fluid	0.893	69413	331.5843461	2288391	0.35	2057	3	66
GCA_030734185.1_ASM3073418v1_genomic	GCA_030734185.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Salinirarus;Salinirarus marinus	96.79	4.04	79.82098939	PRJNA1002841	SAMN36864297	Hypersaline_Salt	N/A	China: Jiangsu	0	Pickle salt	0	0	0	0.878	2897202	276.5669682	3234179	0.66	3427	8	65
GCA_013415885.1_ASM1341588v1_genomic	GCA_013415885.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Halosimplex;Halosimplex rubrum	99.99	1.12	97.71564613	PRJNA644749	SAMN15472373	Hypersaline_Salt	N/A	China:Liaoning	0	the red brine of salted Laminaria	0	0	0	0.862	4480147	291.8012675	4480147	0.68	4418	8	65
GCA_042661865.1_ASM4266186v1_genomic	GCA_042661865.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Halorubrum;Halorubrum tibetense	82.42	1.41	77.33432592	PRJNA595761	SAMN43283310	Unknown	N/A	missing	0	missing	0	0	0	0.858	8485	242.1933657	3135916	0.65	3708	5	65
GCA_030553305.1_ASM3055330v1_genomic	GCA_030553305.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Natronomonadaceae;Halomarina;Halomarina ordinaria	99.93	1.63	95.00219121	PRJNA943122	SAMN33708900	Terrestrial_Soil	N/A	China: Xinjiang	0	saline soil from Tarim Basin	0	0	0	0.876	2782162	286.8896139	3610213	0.68	3678	4	65
GCA_963847185.1_MFD03899.bin.1.101_genomic	GCA_963847185.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;environmental samples;uncultured Methanosarcinaceae archaeon	99.8	0.56	99.98745195	PRJEB58634	SAMEA114815207	Freshwater	N/A	Denmark	0	sediment	Freshwater	0	not collected	0.729	943852	279.0468351	4039532	0.4	3523	12	64
GCA_024228675.1_ASM2422867v1_genomic	GCA_024228675.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Salinigranum;Salinigranum marinum	99.88	4.36	81.3811794	PRJNA854302	SAMN29427989	Terrestrial_Soil	N/A	China:Zhejiang	0	Saline soil	0	0	0	0.849	4002753	286.3069164	4906407	0.66	4858	8	64
GCA_029278565.1_ASM2927856v1_genomic	GCA_029278565.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula halophila	100	3.22	87.14134134	PRJNA942079	SAMN33651782	Unknown	N/A	China: Jiangsu	0	sediment	0	0	0	0.886	3038664	286.7736981	4041616	0.64	4167	8	64
GCA_004114995.1_ASM411499v1_genomic	GCA_004114995.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Halorubrum;Halorubrum amylolyticum	99.98	5.14	76.74145351	PRJNA516078	SAMN10782550	Hypersaline_Salt	N/A	China: Yunnan	0	Salt mine	0	0	0	0.846	83735	283.5283541	3630756	0.66	3615	4	64
GCA_054504345.1_ASM5450434v1_genomic	GCA_054504345.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Halosimplex;unclassified Halosimplex;Halosimplex sp. J119	99.87	5.35	75.9750536	PRJNA1136211	SAMN42505448	Hypersaline_Salt	N/A	China:Yunnan	0	salt mine	0	0	0	0.866	512988	298.7125958	4722155	0.67	4565	15	63
GCA_043952005.1_CMAA_1909_genomic	GCA_043952005.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haladaptataceae;Haladaptatus;unclassified Haladaptatus;Haladaptatus sp. CMAA 1909	100	7.37	66.41276593	PRJNA1173513	SAMN44050743	Unknown	N/A	"Brazil: Petrolina, PE"	0	root	0	0	0	0.837	3353759	271.3266392	5658424	0.59	5826	8	63
GCA_051414095.1_ASM5141409v1_genomic	GCA_051414095.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Halovenus;Halovenus amylolytica	99.96	1.8	93.61039988	PRJNA1216974	SAMN46474258	Unknown	N/A	China: Xinjiang	0	sediment	0	0	0	0.867	199894	290.3217809	3761405	0.59	3751	8	63
GCA_020097815.1_ASM2009781v1_genomic	GCA_020097815.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Haloprofundus;Haloprofundus salinisoli	99.44	0.16	101.8797887	PRJNA763320	SAMN21437959	Terrestrial_Soil	N/A	China:Xinjiang	0	saline soil	0	0	0	0.856	3017014	282.349711	3421753	0.65	3460	8	63
GCA_033100775.1_ASM3310077v1_genomic	GCA_033100775.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Halorubrum;Halorubrum distributum group;Halorubrum distributum	99.78	0.72	98.98043365	PRJNA1031102	SAMN37925445	Hypersaline_Salt	N/A	"Russia: Volgograd Region, Bolschaya Smorogda estuary"	0	hypersaline ephemeral pond	0	0	0	0.855	398903	290.0118975	3334150	0.68	3278	7	63
GCA_000495475.1_Htyrrel1.0_genomic	GCA_000495475.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Candidatus Halobonum;Candidatus Halobonum tyrrellensis;Candidatus Halobonum tyrrellensis G22	99.67	0.74	98.50789753	PRJNA198495	SAMN02471691	Hypersaline_Salt	N/A	Australia	0	hypersaline waters of Lake Tyrrell	0	0	0	0.856	119068	297.8913475	3675087	0.7	3525	4	63
GCA_963607735.1_H07605-L1_cleanbin_000001_GreatApes_genomic	GCA_963607735.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae;unclassified Methanobacteriaceae;Methanobacteriaceae archaeon	100	0	102.7076495	PRJEB68160	SAMEA114585628	Animal_Host_Associated	N/A	Republic of the Congo	0	Feces of Gorilla gorilla gorilla (CG)	hominid body	0	feces	0.89	260195	326.5209567	4642454	0.51	4223	4	63
GCA_978016795.1_EJ_ARO_MAG213_genomic	GCA_978016795.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;unclassified Methanobrevibacter;Methanobrevibacter sp.	85.22	2.52	74.78287069	PRJEB101973	SAMEA120854624	Animal_Host_Associated	N/A	Israel	0	rumen fluid	ENVO_00000492	0	UBERON_0006975	0.896	21171	306.0461538	2128254	0.37	2080	2	63
GCA_054654555.1_ASM5465455v1_genomic	GCA_054654555.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Natrialbaceae;Halopiger;Halopiger thermotolerans	99.93	0.48	100.7339914	PRJDB20694	SAMD01611603	Hypersaline_Salt	N/A	missing: lab stock	0	commercial salt produced in Australia	0	0	0	0.853	2558484	293.688386	4150957	0.66	4021	13	62
GCA_051207415.1_ASM5120741v1_genomic	GCA_051207415.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Halorubellaceae;Haloarchaeobius;unclassified Haloarchaeobius;Haloarchaeobius sp. HRN-SO-5	99.98	2.21	91.95845433	PRJNA1282897	SAMN49669678	Terrestrial_Soil	N/A	China: Shandong	0	Salt soil	0	0	0	0.871	1140010	289.280467	4091078	0.66	4111	8	62
GCA_031624315.1_ASM3162431v1_genomic	GCA_031624315.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula terrestris	99.99	2.35	91.10879628	PRJNA845891	SAMN28864570	Terrestrial_Soil	N/A	"Spain: Marismas del Odiel, Huelva"	0	saline soil	0	0	0	0.868	546503	281.7122741	4145596	0.62	4261	5	62
GCA_000025325.1_ASM2532v1_genomic	GCA_000025325.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Natrialbaceae;Haloterrigena;Haloterrigena turkmenica;Haloterrigena turkmenica DSM 5511	99.99	1.2	97.28492109	PRJNA30411	SAMN02598471	Unknown	N/A	0	0	0	0	0	0	0.821	3889038	285.3694487	5440782	0.64	5224	13	61
GCA_019823105.1_ASM1982310v1_genomic	GCA_019823105.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Halobaculum;Halobaculum magnesiiphilum	99.89	0.99	98.17602919	PRJNA757273	SAMN20958642	Unknown	N/A	China: Beijing	0	missing	0	0	0	0.866	2965230	289.905082	3732450	0.68	3719	8	61
GCA_000337495.1_ASM33749v1_genomic	GCA_000337495.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Natrialbaceae;Haloterrigena;Haloterrigena salina;Haloterrigena salina JCM 13891	99.4	2.84	87.78996826	PRJNA174926	SAMN02471629	Unknown	N/A	0	0	0	0	0	0	0.834	151334	289.6702494	4841607	0.65	4652	6	61
GCA_002252985.1_ASM225298v1_genomic	GCA_002252985.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Halorubrum;Halorubrum halodurans	95.14	0.35	95.70637033	PRJNA232799	SAMN02716035	Hypersaline_Salt	N/A	Iran: Aran-Bidgol	0	endorheic salt-lake	0	0	0	0.865	42928	284.9842309	3320122	0.68	3361	4	61
GCA_003344565.1_ASM334456v1_genomic	GCA_003344565.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Natrialbaceae;Saliphagus;unclassified Saliphagus;Saliphagus sp. LR7	99.95	3.13	86.96560429	PRJNA482031	SAMN09694357	Hypersaline_Salt	N/A	China: Yunnan	0	Salt mine	0	0	0	0.853	214392	276.6192283	4606068	0.64	4743	4	61
GCA_004765805.1_ASM476580v1_genomic	GCA_004765805.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haladaptataceae;Halorussus;Halorussus halobius	99.99	5.61	74.94894949	PRJNA514221	SAMN10721430	Hypersaline_Salt	N/A	"China:Dalian, Liaoning Province"	0	isolated from salted brown alga Laminaria	0	0	0	0.855	1042075	283.3007064	3933954	0.67	3964	4	61
GCA_963805035.1_MFD04492.bin.2.70_genomic	GCA_963805035.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;environmental samples;uncultured Methanoregulaceae archaeon	90.16	2.69	79.34854663	PRJEB58634	SAMEA114817198	Freshwater	N/A	Denmark	0	sediment	Freshwater	0	not collected	0.83	189275	247.357089	2359974	0.54	2652	4	61
GCF_002505485.1_ASM250548v1_genomic	GCF_002505485.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;unclassified Methanosarcina;Methanosarcina sp. UBA5	99.96	0.52	99.71213104	PRJNA348753	SAMN06027134	Unknown	biofilm metagenome	NULL	0	AM-anode biofilm	0	0	0	0.723	50613	275.4130305	3816059	0.4	3346	0	61
GCA_042663665.1_ASM4266366v1_genomic	GCA_042663665.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Natrialbaceae;Saliphagus;unclassified Saliphagus;Saliphagus sp. GCM10025317	96.28	6.94	64.77600552	PRJNA595761	SAMN43283181	Unknown	N/A	missing	0	missing	0	0	0	0.846	2466102	286.6160271	4497079	0.63	4430	22	60
GCA_963744595.1_MFD03899.bin.1.38_genomic	GCA_963744595.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;environmental samples;uncultured Methanosarcinaceae archaeon	99.71	0.26	101.2197314	PRJEB58634	SAMEA114815231	Freshwater	N/A	Denmark	0	sediment	Freshwater	0	not collected	0.733	416354	278.808084	3580454	0.41	3142	9	60
GCA_020618475.1_ASM2061847v1_genomic	GCA_020618475.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haladaptataceae;Haladaptatus;Haladaptatus halobius	99.99	9.51	55.51455765	PRJNA772077	SAMN22361724	Terrestrial_Soil	N/A	China: Xinjiang	0	saline soil	0	0	0	0.804	1409663	240.3583446	7279389	0.58	8143	8	60
